PassengerId;Survived;Pclass;Sex;Age;SibSp;Parch;Embarked
473;1;2;1;33;1;2;S
507;1;2;1;33;0;2;S
549;0;3;0;33;1;1;S
720;0;3;0;33;0;0;S
753;0;3;0;33;0;0;S
760;1;1;1;33;0;0;S
810;1;1;1;33;1;0;S
873;0;1;0;33;0;0;S
882;0;3;0;33;0;0;S
22;1;2;0;34;0;0;S
99;1;2;1;34;0;1;S
100;0;2;0;34;1;0;S
203;0;3;0;34;0;0;S
406;0;2;0;34;1;0;S
417;1;2;1;34;1;1;S
448;1;1;0;34;0;0;S
462;0;3;0;34;0;0;S
477;0;2;0;34;1;0;S
517;1;2;1;34;0;0;S
577;1;2;1;34;0;0;S
617;0;3;0;34;1;1;S
723;0;2;0;34;0;0;S
759;0;3;0;34;0;0;S
801;0;2;0;34;0;0;S
844;0;3;0;34,5;0;0;C
4;1;1;1;35;1;0;S
5;0;3;0;35;0;0;S
21;0;2;0;35;0;0;S
212;1;2;1;35;0;0;S
231;1;1;1;35;1;0;S
259;1;1;1;35;0;0;C
270;1;1;1;35;0;0;S
280;1;3;1;35;1;1;S
364;0;3;0;35;0;0;S
384;1;1;1;35;1;0;S
487;1;1;1;35;1;0;S
591;0;3;0;35;0;0;S
605;1;1;0;35;0;0;C
615;0;3;0;35;0;0;S
702;1;1;0;35;0;0;S
738;1;1;0;35;0;0;C
813;0;2;0;35;0;0;S
848;0;3;0;35;0;0;C
180;0;3;0;36;0;0;S
190;0;3;0;36;0;0;S
266;0;2;0;36;0;0;S
293;0;2;0;36;0;0;C
326;1;1;1;36;0;0;C
328;1;2;1;36;0;0;S
345;0;2;0;36;0;0;S
388;1;2;1;36;0;0;S
391;1;1;0;36;1;2;S
451;0;2;0;36;1;2;S
513;1;1;0;36;0;0;S
519;1;2;1;36;1;0;S
541;1;1;1;36;0;2;S
560;1;3;1;36;1;0;S
573;1;1;0;36;0;0;S
584;0;1;0;36;0;0;C
596;0;3;0;36;1;1;S
606;0;3;0;36;1;0;S
664;0;3;0;36;0;0;S
680;1;1;0;36;0;1;C
742;0;1;0;36;1;0;S
764;1;1;1;36;1;2;S
149;0;2;0;36,5;0;2;S
105;0;3;0;37;2;0;S
138;0;1;0;37;1;0;S
249;1;1;0;37;1;1;S
274;0;1;0;37;0;1;C
504;0;3;1;37;0;0;S
595;0;2;0;37;1;0;S
2;1;1;1;38;1;0;C
26;1;3;1;38;1;5;S
62;1;1;1;38;0;0;
109;0;3;0;38;0;0;S
225;1;1;0;38;1;0;S
333;0;1;0;38;0;1;S
358;0;2;1;38;0;0;S
466;0;3;0;38;0;0;S
472;0;3;0;38;0;0;S
717;1;1;1;38;0;0;C
823;0;1;0;38;0;0;S
14;0;3;0;39;1;5;S
401;1;3;0;39;0;0;S
529;0;3;0;39;0;0;S
559;1;1;1;39;1;1;S
578;1;1;1;39;1;0;S
582;1;1;1;39;1;1;C
611;0;3;1;39;1;5;S
706;0;2;0;39;0;0;S
796;0;2;0;39;0;0;S
807;0;1;0;39;0;0;S
809;0;2;0;39;0;0;S
812;0;3;0;39;0;0;S
836;1;1;1;39;1;1;C
886;0;3;1;39;0;5;Q
31;0;1;0;40;0;0;C
41;0;3;1;40;1;0;S
162;1;2;1;40;0;0;S
189;0;3;0;40;1;1;Q
210;1;1;0;40;0;0;C
264;0;1;0;40;0;0;S
320;1;1;1;40;1;1;C
347;1;2;1;40;0;0;S
361;0;3;0;40;1;4;S
562;0;3;0;40;0;0;S
610;1;1;1;40;0;0;S
662;0;3;0;40;0;0;C
671;1;2;1;40;1;1;S
154;0;3;0;40,5;0;2;S
526;0;3;0;40,5;0;0;Q
255;0;3;1;41;0;2;S
273;1;2;1;41;0;1;S
338;1;1;1;41;0;0;C
639;0;3;1;41;0;5;S
762;0;3;0;41;0;0;S
861;0;3;0;41;2;0;S
36;0;1;0;42;1;0;S
150;0;2;0;42;0;0;S
198;0;3;0;42;0;1;S
218;0;2;0;42;1;0;S
289;1;2;0;42;0;0;S
350;0;3;0;42;0;0;S
381;1;1;1;42;0;0;C
433;1;2;1;42;1;0;S
622;1;1;0;42;1;0;S
700;0;3;0;42;0;0;S
708;1;1;0;42;0;0;S
846;0;3;0;42;0;0;S
866;1;2;1;42;0;0;S
315;0;2;0;43;1;1;S
669;0;3;0;43;0;0;S
679;0;3;1;43;1;6;S
780;1;1;1;43;0;1;S
819;0;3;0;43;0;0;S
161;0;3;0;44;0;1;S
195;1;1;1;44;0;0;C
237;0;2;0;44;1;0;S
246;0;1;0;44;2;0;Q
415;1;3;0;44;0;0;S
524;1;1;1;44;0;1;C
604;0;3;0;44;0;0;S
697;0;3;0;44;0;0;S
855;0;2;1;44;1;0;S
63;0;1;0;45;1;0;S
130;0;3;0;45;0;0;S
168;0;3;1;45;1;4;S
188;1;1;0;45;0;0;S
277;0;3;1;45;0;0;S
339;1;3;0;45;0;0;S
340;0;1;0;45;0;0;S
363;0;3;1;45;0;1;C
441;1;2;1;45;1;1;S
537;0;1;0;45;0;0;S
707;1;2;1;45;0;0;S
857;1;1;1;45;1;1;S
204;0;3;0;45,5;0;0;C
332;0;1;0;45,5;0;0;S
93;0;1;0;46;1;0;S
398;0;2;0;46;0;0;S
790;0;1;0;46;0;0;C
111;0;1;0;47;0;0;S
133;0;3;1;47;1;0;S
463;0;1;0;47;0;0;S
516;0;1;0;47;0;0;S
587;0;2;0;47;0;0;S
593;0;3;0;47;0;0;S
663;0;1;0;47;0;0;S
872;1;1;1;47;1;1;S
874;0;3;0;47;0;0;S
461;1;1;0;48;0;0;S
464;0;2;0;48;0;0;S
557;1;1;1;48;1;0;C
646;1;1;0;48;1;0;C
713;1;1;0;48;1;0;S
737;0;3;1;48;1;3;S
755;1;2;1;48;1;2;S
772;0;3;0;48;0;0;S
863;1;1;1;48;0;0;S
53;1;1;1;49;1;0;C
454;1;1;0;49;1;0;C
598;0;3;0;49;0;0;S
600;1;1;0;49;1;0;C
699;0;1;0;49;1;1;C
797;1;1;1;49;0;0;S
178;0;1;1;50;0;0;C
260;1;2;1;50;0;1;S
300;1;1;1;50;0;1;C
435;0;1;0;50;1;0;S
459;1;2;1;50;0;0;S
483;0;3;0;50;0;0;S
527;1;2;1;50;0;0;S
545;0;1;0;50;1;0;C
661;1;1;0;50;2;0;S
724;0;2;0;50;0;0;S
151;0;2;0;51;0;0;S
156;0;1;0;51;0;1;C
223;0;3;0;51;0;0;S
407;0;3;0;51;0;0;S
632;0;3;0;51;0;0;S
766;1;1;1;51;1;0;S
858;1;1;0;51;0;0;S
263;0;1;0;52;1;1;S
450;1;1;0;52;0;0;S
592;1;1;1;52;1;0;C
696;0;2;0;52;0;0;S
715;0;2;0;52;0;0;S
821;1;1;1;52;1;1;S
572;1;1;1;53;2;0;S
7;0;1;0;54;0;0;S
125;0;1;0;54;0;1;S
250;0;2;0;54;1;0;S
318;0;2;0;54;0;0;S
497;1;1;1;54;1;0;C
514;1;1;1;54;1;0;C
583;0;2;0;54;0;0;S
775;1;2;1;54;1;3;S
16;1;2;1;55;0;0;S
493;0;1;0;55;0;0;S
153;0;3;0;55,5;0;0;S
175;0;1;0;56;0;0;C
468;0;1;0;56;0;0;S
648;1;1;0;56;0;0;C
880;1;1;1;56;0;1;C
627;0;2;0;57;0;0;Q
773;0;2;1;57;0;0;S
12;1;1;1;58;0;0;S
196;1;1;1;58;0;0;C
269;1;1;1;58;0;1;S
488;0;1;0;58;0;0;C
660;0;1;0;58;0;2;C
95;0;3;0;59;0;0;S
233;0;2;0;59;0;0;S
367;1;1;1;60;1;0;C
588;1;1;0;60;1;1;C
685;0;2;0;60;1;1;S
695;0;1;0;60;0;0;S
171;0;1;0;61;0;0;S
327;0;3;0;61;0;0;S
626;0;1;0;61;0;0;S
253;0;1;0;62;0;0;S
556;0;1;0;62;0;0;S
571;1;2;0;62;0;0;S
830;1;1;1;62;0;0;
276;1;1;1;63;1;0;S
484;1;3;1;63;0;0;S
439;0;1;0;64;1;4;S
546;0;1;0;64;0;0;S
55;0;1;0;65;0;1;C
281;0;3;0;65;0;0;Q
457;0;1;0;65;0;0;S
34;0;2;0;66;0;0;S
673;0;2;0;70;0;0;S
746;0;1;0;70;1;1;S
117;0;3;0;70,5;0;0;Q
97;0;1;0;71;0;0;C
494;0;1;0;71;0;0;C
852;0;3;0;74;0;0;S
631;1;1;0;80;0;0;S
6;0;3;0;29,7;0;0;Q
18;1;2;0;29,7;0;0;S
20;1;3;1;29,7;0;0;C
27;0;3;0;29,7;0;0;C
29;1;3;1;29,7;0;0;Q
30;0;3;0;29,7;0;0;S
32;1;1;1;29,7;1;0;C
33;1;3;1;29,7;0;0;Q
37;1;3;0;29,7;0;0;C
43;0;3;0;29,7;0;0;C
46;0;3;0;29,7;0;0;S
47;0;3;0;29,7;1;0;Q
48;1;3;1;29,7;0;0;Q
49;0;3;0;29,7;2;0;C
56;1;1;0;29,7;0;0;S
65;0;1;0;29,7;0;0;C
66;1;3;0;29,7;1;1;C
77;0;3;0;29,7;0;0;S
78;0;3;0;29,7;0;0;S
83;1;3;1;29,7;0;0;Q
88;0;3;0;29,7;0;0;S
96;0;3;0;29,7;0;0;S
102;0;3;0;29,7;0;0;S
108;1;3;0;29,7;0;0;S
110;1;3;1;29,7;1;0;Q
122;0;3;0;29,7;0;0;S
127;0;3;0;29,7;0;0;Q
129;1;3;1;29,7;1;1;C
141;0;3;1;29,7;0;2;C
155;0;3;0;29,7;0;0;S
159;0;3;0;29,7;0;0;S
160;0;3;0;29,7;8;2;S
167;1;1;1;29,7;0;1;S
169;0;1;0;29,7;0;0;S
177;0;3;0;29,7;3;1;S
181;0;3;1;29,7;8;2;S
182;0;2;0;29,7;0;0;C
186;0;1;0;29,7;0;0;S
187;1;3;1;29,7;1;0;Q
197;0;3;0;29,7;0;0;Q
199;1;3;1;29,7;0;0;Q
202;0;3;0;29,7;8;2;S
215;0;3;0;29,7;1;0;Q
224;0;3;0;29,7;0;0;S
230;0;3;1;29,7;3;1;S
236;0;3;1;29,7;0;0;S
241;0;3;1;29,7;1;0;C
242;1;3;1;29,7;1;0;Q
251;0;3;0;29,7;0;0;S
257;1;1;1;29,7;0;0;C
261;0;3;0;29,7;0;0;Q
265;0;3;1;29,7;0;0;Q
271;0;1;0;29,7;0;0;S
275;1;3;1;29,7;0;0;Q
278;0;2;0;29,7;0;0;S
285;0;1;0;29,7;0;0;S
296;0;1;0;29,7;0;0;C
299;1;1;0;29,7;0;0;S
301;1;3;1;29,7;0;0;Q
302;1;3;0;29,7;2;0;Q
304;1;2;1;29,7;0;0;Q
305;0;3;0;29,7;0;0;S
307;1;1;1;29,7;0;0;C
325;0;3;0;29,7;8;2;S
331;1;3;1;29,7;2;0;Q
335;1;1;1;29,7;1;0;S
336;0;3;0;29,7;0;0;S
348;1;3;1;29,7;1;0;S
352;0;1;0;29,7;0;0;S
355;0;3;0;29,7;0;0;C
359;1;3;1;29,7;0;0;Q
360;1;3;1;29,7;0;0;Q
365;0;3;0;29,7;1;0;Q
368;1;3;1;29,7;0;0;C
369;1;3;1;29,7;0;0;Q
376;1;1;1;29,7;1;0;C
385;0;3;0;29,7;0;0;S
389;0;3;0;29,7;0;0;Q
410;0;3;1;29,7;3;1;S
411;0;3;0;29,7;0;0;S
412;0;3;0;29,7;0;0;Q
414;0;2;0;29,7;0;0;S
416;0;3;1;29,7;0;0;S
421;0;3;0;29,7;0;0;C
426;0;3;0;29,7;0;0;S
429;0;3;0;29,7;0;0;Q
432;1;3;1;29,7;1;0;S
445;1;3;0;29,7;0;0;S
452;0;3;0;29,7;1;0;S
455;0;3;0;29,7;0;0;S
458;1;1;1;29,7;1;0;S
460;0;3;0;29,7;0;0;Q
465;0;3;0;29,7;0;0;S
467;0;2;0;29,7;0;0;S
469;0;3;0;29,7;0;0;Q
471;0;3;0;29,7;0;0;S
476;0;1;0;29,7;0;0;S
482;0;2;0;29,7;0;0;S
486;0;3;1;29,7;3;1;S
491;0;3;0;29,7;1;0;S
496;0;3;0;29,7;0;0;C
498;0;3;0;29,7;0;0;S
503;0;3;1;29,7;0;0;Q
508;1;1;0;29,7;0;0;S
512;0;3;0;29,7;0;0;S
518;0;3;0;29,7;0;0;Q
523;0;3;0;29,7;0;0;C
525;0;3;0;29,7;0;0;C
528;0;1;0;29,7;0;0;S
532;0;3;0;29,7;0;0;C
534;1;3;1;29,7;0;2;C
539;0;3;0;29,7;0;0;S
548;1;2;0;29,7;0;0;C
553;0;3;0;29,7;0;0;Q
558;0;1;0;29,7;0;0;C
561;0;3;0;29,7;0;0;Q
564;0;3;0;29,7;0;0;S
565;0;3;1;29,7;0;0;S
569;0;3;0;29,7;0;0;C
574;1;3;1;29,7;0;0;Q
579;0;3;1;29,7;1;0;C
585;0;3;0;29,7;0;0;C
590;0;3;0;29,7;0;0;S
594;0;3;1;29,7;0;2;Q
597;1;2;1;29,7;0;0;S
599;0;3;0;29,7;0;0;C
602;0;3;0;29,7;0;0;S
603;0;1;0;29,7;0;0;S
612;0;3;0;29,7;0;0;S
613;1;3;1;29,7;1;0;Q
614;0;3;0;29,7;0;0;Q
630;0;3;0;29,7;0;0;Q
634;0;1;0;29,7;0;0;S
640;0;3;0;29,7;1;0;S
644;1;3;0;29,7;0;0;S
649;0;3;0;29,7;0;0;S
651;0;3;0;29,7;0;0;S
654;1;3;1;29,7;0;0;Q
657;0;3;0;29,7;0;0;S
668;0;3;0;29,7;0;0;S
670;1;1;1;29,7;1;0;S
675;0;2;0;29,7;0;0;S
681;0;3;1;29,7;0;0;Q
693;1;3;0;29,7;0;0;S
698;1;3;1;29,7;0;0;Q
710;1;3;0;29,7;1;1;C
712;0;1;0;29,7;0;0;S
719;0;3;0;29,7;0;0;Q
728;1;3;1;29,7;0;0;Q
733;0;2;0;29,7;0;0;S
739;0;3;0;29,7;0;0;S
740;0;3;0;29,7;0;0;S
741;1;1;0;29,7;0;0;S
761;0;3;0;29,7;0;0;S
767;0;1;0;29,7;0;0;C
769;0;3;0;29,7;1;0;Q
774;0;3;0;29,7;0;0;C
777;0;3;0;29,7;0;0;Q
779;0;3;0;29,7;0;0;Q
784;0;3;0;29,7;1;2;S
791;0;3;0;29,7;0;0;Q
793;0;3;1;29,7;8;2;S
794;0;1;0;29,7;0;0;C
816;0;1;0;29,7;0;0;S
826;0;3;0;29,7;0;0;Q
827;0;3;0;29,7;0;0;S
829;1;3;0;29,7;0;0;Q
833;0;3;0;29,7;0;0;C
838;0;3;0;29,7;0;0;S
840;1;1;0;29,7;0;0;C
847;0;3;0;29,7;8;2;S
850;1;1;1;29,7;1;0;C
860;0;3;0;29,7;0;0;C
864;0;3;1;29,7;8;2;S
869;0;3;0;29,7;0;0;S
879;0;3;0;29,7;0;0;S
889;0;3;1;29,7;1;2;S
